,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,21480.6171875,21492.724609375,21497.447265625,21486.654296875,21494.896484375,21485.44140625,21506.666015625,21489.072265625,21497.203125,21471.5546875,21478.8515625,21485.427734375,21491.20703125,21499.439453125
1,21478.708984375,21494.197265625,21493.6796875,21484.8671875,21493.53515625,21481.845703125,21502.361328125,21486.548828125,21495.755859375,21472.3515625,21479.74609375,21489.181640625,21490.126953125,21495.39453125
2,21477.171875,21494.44921875,21489.9296875,21483.451171875,21490.833984375,21479.87109375,21498.6015625,21485.080078125,21494.08203125,21472.953125,21481.08203125,21489.8671875,21488.8046875,21491.064453125
3,21489.03515625,21503.720703125,21502.125,21492.9921875,21498.705078125,21493.515625,21509.216796875,21494.6328125,21504.837890625,21482.85546875,21492.14453125,21498.013671875,21496.103515625,21499.88671875
4,21498.50390625,21514.2109375,21511.333984375,21502.142578125,21507.01953125,21502.361328125,21516.7578125,21503.2265625,21514.1640625,21492.6640625,21501.298828125,21508.62890625,21504.712890625,21507.564453125
5,21474.685546875,21497.716796875,21484.666015625,21481.25390625,21490.15234375,21478.34765625,21490.234375,21481.998046875,21495.052734375,21473.1171875,21483.724609375,21494.830078125,21490.75,21488.6875
6,21438.08203125,21463.462890625,21443.6796875,21447.205078125,21457.8203125,21440.9140625,21449.95703125,21445.5390625,21460.74609375,21438.220703125,21451.18359375,21461.529296875,21459.814453125,21454.505859375
7,21376.5390625,21402.404296875,21377.365234375,21387.642578125,21403.3359375,21379.84765625,21383.6875,21382.189453125,21402.58984375,21376.41015625,21393.794921875,21403.41015625,21403.390625,21397.41015625
8,21331.87109375,21349.376953125,21328.384765625,21342.099609375,21355.783203125,21332.94140625,21333.81640625,21331.748046875,21353.92578125,21327.6796875,21345.041015625,21350.361328125,21350.03515625,21347.40234375
9,21311.814453125,21319.52734375,21306.125,21319.576171875,21326.720703125,21309.412109375,21309.193359375,21305.40625,21327.515625,21304.771484375,21317.48828125,21319.005859375,21315.138671875,21317.017578125
10,21293.525390625,21297.296875,21286.9296875,21298.58984375,21303.0078125,21290.54296875,21288.2109375,21284.9609375,21306.25,21287.44921875,21296.720703125,21296.91796875,21289.15625,21292.279296875
11,21271.677734375,21274.37890625,21265.900390625,21274.47265625,21280.091796875,21271.36328125,21265.826171875,21262.86328125,21283.87890625,21266.96875,21275.541015625,21275.119140625,21265.62890625,21269.19140625
12,21269.21875,21268.080078125,21265.501953125,21270.017578125,21272.57421875,21269.833984375,21263.337890625,21258.384765625,21278.359375,21263.841796875,21269.447265625,21267.328125,21257.12109375,21263.177734375
13,21272.576171875,21270.166015625,21270.013671875,21271.267578125,21271.798828125,21273.2890625,21266.67578125,21261.81640625,21279.41796875,21268.294921875,21270.90625,21268.529296875,21257.451171875,21263.693359375
14,21277.25,21275.314453125,21275.232421875,21274.263671875,21273.7109375,21278.23046875,21271.736328125,21268.162109375,21282.88671875,21274.83984375,21275.3828125,21272.755859375,21262.279296875,21267.25
15,21288.076171875,21285.900390625,21286.56640625,21283.166015625,21281.19140625,21289.080078125,21283.623046875,21280.66796875,21292.181640625,21286.76953125,21285.390625,21281.42578125,21273.029296875,21277.12109375
16,21306.216796875,21303.6328125,21305.2890625,21299.416015625,21295.564453125,21307.142578125,21303.05078125,21300.369140625,21309.0390625,21305.505859375,21301.767578125,21296.359375,21290.609375,21294.57421875
17,21324.943359375,21323.51171875,21324.36328125,21316.7109375,21312.248046875,21325.94921875,21323.234375,21321.4375,21327.7265625,21325.4765625,21319.57421875,21313.943359375,21310.86328125,21314.052734375
18,21333.265625,21335.40234375,21332.947265625,21324.787109375,21322.72265625,21335.51171875,21333.498046875,21333.2578125,21338.4375,21335.97265625,21329.5703125,21325.24609375,21325.162109375,21326.544921875
19,21337.162109375,21341.470703125,21337.48828125,21328.880859375,21329.541015625,21340.859375,21339.775390625,21339.52734375,21344.498046875,21340.556640625,21334.6015625,21330.861328125,21334.2421875,21335.052734375
20,21341.04296875,21345.802734375,21342.130859375,21333.232421875,21335.546875,21345.201171875,21345.5234375,21344.13671875,21349.552734375,21343.888671875,21337.95703125,21334.7734375,21340.556640625,21342.259765625
21,21352.138671875,21355.79296875,21354.126953125,21344.6875,21346.310546875,21355.65625,21358.009765625,21354.7421875,21360.373046875,21353.666015625,21346.546875,21343.486328125,21350.330078125,21354.025390625
22,21382.7890625,21383.41796875,21386.240234375,21374.46484375,21372.00390625,21384.716796875,21390.361328125,21384.232421875,21388.193359375,21382.306640625,21372.27734375,21367.63671875,21374.521484375,21380.9765625
23,21458.23046875,21451.986328125,21466.17578125,21445.216796875,21434.712890625,21460.19921875,21470.64453125,21458.767578125,21455.939453125,21452.734375,21439.5234375,21427.607421875,21435.345703125,21445.76171875
24,21518.533203125,21519.265625,21532.900390625,21504.482421875,21496.33984375,21525.669921875,21538.087890625,21526.37109375,21518.2109375,21514.8515625,21503.0703125,21492.716796875,21500.083984375,21508.36328125
25,21537.7109375,21554.796875,21558.00390625,21529.517578125,21530.369140625,21553.693359375,21565.578125,21558.45703125,21548.416015625,21540.525390625,21534.865234375,21531.6796875,21541.27734375,21543.3359375
26,21531.078125,21561.107421875,21555.046875,21531.296875,21540.01953125,21554.52734375,21565.736328125,21562.2734375,21552.7265625,21538.25390625,21540.37109375,21542.265625,21556.84765625,21553.599609375
27,21534.421875,21565.4375,21561.810546875,21539.3359375,21550.728515625,21562.27734375,21573.55078125,21567.8671875,21560.03515625,21538.04296875,21546.81640625,21548.37109375,21567.61328125,21564.94140625
28,21539.013671875,21569.34375,21568.55078125,21547.578125,21560.1953125,21566.185546875,21579.943359375,21571.54296875,21566.078125,21538.6796875,21550.962890625,21555.134765625,21574.611328125,21573.384765625
29,21525.708984375,21558.373046875,21554.458984375,21538.2734375,21553.69921875,21549.962890625,21566.607421875,21557.9453125,21555.318359375,21524.623046875,21539.9453125,21548.568359375,21566.791015625,21564.521484375
30,21522.083984375,21551.79296875,21549.40234375,21536.2265625,21549.953125,21542.75390625,21561.771484375,21550.6796875,21550.052734375,21518.1796875,21534.93359375,21543.568359375,21560.205078125,21558.67578125
31,21545.908203125,21567.677734375,21574.400390625,21557.669921875,21566.84765625,21564.02734375,21584.494140625,21567.80859375,21568.921875,21535.7734375,21552.455078125,21559.134765625,21572.046875,21574.8984375
32,21562.5703125,21585.06640625,21591.490234375,21574.748046875,21582.43359375,21576.931640625,21599.580078125,21581.962890625,21584.51953125,21551.89453125,21567.55859375,21578.5625,21585.572265625,21588.12109375
33,21568.689453125,21594.765625,21596.76953125,21582.197265625,21589.912109375,21581.94140625,21604.66015625,21588.7578125,21591.666015625,21559.7265625,21576.72265625,21590.125,21594.0078125,21593.630859375
34,21561.2265625,21591.52734375,21586.53125,21576.92578125,21585.158203125,21573.197265625,21595.166015625,21582.88671875,21585.9375,21554.923828125,21574.11328125,21588.40234375,21591.53515625,21586.890625
35,21576.21875,21602.220703125,21601.169921875,21590.537109375,21595.056640625,21588.4609375,21608.44140625,21594.85546875,21598.666015625,21567.099609375,21587.1484375,21597.392578125,21600.560546875,21597.34375
36,21587.232421875,21614.015625,21611.4296875,21601.990234375,21604.58203125,21597.4296875,21617.234375,21605.126953125,21609.359375,21578.6015625,21597.7109375,21609.13671875,21610.173828125,21605.833984375
37,21578.56640625,21610.01171875,21600.244140625,21595.421875,21598.751953125,21587.453125,21606.044921875,21598.046875,21603.19921875,21572.80859375,21592.8828125,21605.662109375,21606.51953125,21598.787109375
38,21564.783203125,21597.71484375,21582.939453125,21583.115234375,21585.4140625,21572.12890625,21589.1328125,21584.345703125,21590.28515625,21560.578125,21581.388671875,21592.259765625,21594.83203125,21584.6875
39,21593.548828125,21617.09375,21613.11328125,21607.548828125,21603.130859375,21601.259765625,21617.701171875,21608.541015625,21613.904296875,21585.625,21603.169921875,21607.181640625,21610.220703125,21604.568359375
40,21629.33203125,21651.2421875,21652.162109375,21640.673828125,21633.19921875,21636.27734375,21654.25390625,21643.484375,21647.783203125,21621.845703125,21635.107421875,21639.92578125,21639.62109375,21635.126953125
41,21659.5390625,21685.341796875,21686.12890625,21670.041015625,21662.93359375,21669.162109375,21687.34375,21678.001953125,21679.708984375,21654.919921875,21667.509765625,21673.572265625,21672.40234375,21665.5625
42,21670.8203125,21703.546875,21699.341796875,21682.802734375,21678.91015625,21683.1796875,21700.98046875,21695.787109375,21695.119140625,21669.578125,21684.83203125,21692.453125,21693.646484375,21682.23828125
43,21693.283203125,21725.33984375,21725.77734375,21705.3515625,21701.794921875,21709.830078125,21726.330078125,21719.712890625,21719.458984375,21690.072265625,21707.705078125,21713.419921875,21718.421875,21707.96875
44,21703.505859375,21738.03515625,21737.28125,21717.78515625,21716.041015625,21719.06640625,21737.115234375,21731.61328125,21731.564453125,21699.66796875,21718.677734375,21727.552734375,21733.884765625,21722.431640625
45,21688.7890625,21727.748046875,21719.712890625,21706.6875,21707.6953125,21701.47265625,21720.994140625,21719.515625,21719.1640625,21685.337890625,21707.767578125,21718.548828125,21728.220703125,21713.166015625
46,21681.7421875,21718.64453125,21709.79296875,21701.7421875,21699.640625,21691.287109375,21712.240234375,21711.419921875,21710.763671875,21676.884765625,21699.935546875,21707.357421875,21721.02734375,21704.826171875
47,21698.662109375,21727.6171875,21728.359375,21716.6953125,21710.47265625,21707.6796875,21729.1875,21722.748046875,21725.53515625,21689.798828125,21710.31640625,21714.6015625,21728.03515625,21717.8984375
48,21699.333984375,21728.42578125,21727.859375,21717.490234375,21712.220703125,21703.73046875,21727.44140625,21720.392578125,21725.904296875,21689.490234375,21708.205078125,21717.298828125,21726.71484375,21718.48828125
49,21696.60546875,21726.142578125,21722.08203125,21715.46484375,21708.638671875,21697.427734375,21722.541015625,21717.07421875,21721.46484375,21687.41015625,21705.14453125,21714.837890625,21722.818359375,21713.189453125
50,21701.103515625,21729.490234375,21724.203125,21719.82421875,21709.013671875,21699.6171875,21725.248046875,21721.51953125,21723.771484375,21693.095703125,21709.2265625,21716.384765625,21723.931640625,21712.916015625
51,21716.46484375,21741.625,21740.8671875,21733.00390625,21719.888671875,21716.3671875,21740.740234375,21735.072265625,21738.88671875,21708.1484375,21722.318359375,21727.46484375,21733.619140625,21725.982421875
52,21711.576171875,21739.322265625,21734.359375,21728.392578125,21717.564453125,21709.6171875,21733.28125,21729.572265625,21735.40625,21703.638671875,21717.806640625,21726.7890625,21730.578125,21723.474609375
53,21669.048828125,21702.814453125,21684.59375,21689.06640625,21682.15625,21663.75390625,21684.939453125,21688.291015625,21694.990234375,21661.349609375,21680.18359375,21691.3359375,21696.947265625,21685.76953125
54,21630.9375,21662.26953125,21639.212890625,21652.34765625,21641.990234375,21623.39453125,21641.1953125,21648.166015625,21655.232421875,21621.212890625,21641.6015625,21647.296875,21657.0,21644.8359375
55,21636.861328125,21655.986328125,21645.33984375,21652.84765625,21635.68359375,21631.080078125,21646.982421875,21647.830078125,21656.908203125,21623.966796875,21638.34375,21636.896484375,21645.5859375,21641.57421875
56,21691.974609375,21702.673828125,21705.947265625,21703.44140625,21675.419921875,21683.93359375,21703.24609375,21696.818359375,21705.974609375,21681.095703125,21681.08203125,21680.26953125,21679.951171875,21682.28515625
57,21686.12109375,21710.921875,21698.66796875,21697.587890625,21677.283203125,21676.828125,21695.919921875,21699.0546875,21705.12890625,21684.634765625,21685.18359375,21692.658203125,21687.443359375,21680.841796875
58,21663.853515625,21695.89453125,21674.0546875,21676.677734375,21659.55078125,21657.15234375,21672.55859375,21682.76953125,21686.78125,21666.38671875,21672.078125,21675.80859375,21677.650390625,21663.64453125
59,21658.99609375,21689.416015625,21669.216796875,21671.171875,21651.451171875,21654.224609375,21667.701171875,21679.244140625,21682.65625,21662.234375,21668.0859375,21664.677734375,21673.82421875,21657.65625
60,21652.4375,21683.103515625,21663.916015625,21663.861328125,21644.265625,21649.1796875,21661.392578125,21673.69140625,21678.892578125,21656.541015625,21661.611328125,21655.466796875,21669.10546875,21652.28125
61,21644.57421875,21676.1640625,21657.423828125,21655.486328125,21636.62109375,21642.197265625,21654.001953125,21666.578125,21673.646484375,21649.603515625,21653.42578125,21645.826171875,21663.306640625,21645.65234375
62,21626.19140625,21660.046875,21639.521484375,21637.12890625,21620.875,21624.130859375,21635.302734375,21648.525390625,21658.677734375,21631.978515625,21635.771484375,21628.009765625,21649.087890625,21630.236328125
63,21652.62109375,21679.083984375,21672.4453125,21660.28125,21639.658203125,21653.65234375,21666.517578125,21670.466796875,21683.609375,21656.99609375,21654.814453125,21642.96484375,21664.40625,21652.388671875
64,21676.23046875,21704.365234375,21701.896484375,21681.935546875,21663.90625,21678.291015625,21694.14453125,21693.744140625,21708.896484375,21682.876953125,21676.84375,21669.421875,21686.724609375,21676.982421875
65,21675.65234375,21710.732421875,21704.123046875,21682.267578125,21670.828125,21679.0078125,21696.232421875,21696.337890625,21712.38671875,21684.978515625,21680.8984375,21678.259765625,21695.2421875,21683.45703125
66,21666.712890625,21705.185546875,21695.890625,21675.390625,21667.423828125,21670.576171875,21688.52734375,21688.77734375,21705.53515625,21676.23828125,21675.306640625,21673.572265625,21693.357421875,21679.8125
67,21677.486328125,21711.330078125,21710.53515625,21685.9921875,21677.560546875,21684.55859375,21702.57421875,21696.01171875,21716.189453125,21683.216796875,21682.990234375,21679.896484375,21700.20703125,21692.802734375
68,21671.86328125,21707.080078125,21704.91796875,21682.1640625,21677.07421875,21676.78515625,21696.58203125,21688.6328125,21711.0390625,21675.97265625,21676.869140625,21679.275390625,21696.794921875,21690.79296875
69,21661.1484375,21697.076171875,21691.876953125,21674.07421875,21669.10546875,21663.462890625,21684.294921875,21676.927734375,21699.169921875,21664.158203125,21666.591796875,21670.828125,21687.37890625,21680.595703125
70,21648.61328125,21684.216796875,21676.00390625,21663.166015625,21656.88671875,21648.5078125,21669.67578125,21664.048828125,21684.892578125,21651.16796875,21655.12890625,21658.458984375,21674.75390625,21666.19921875
71,21632.83984375,21666.373046875,21658.521484375,21647.576171875,21641.595703125,21633.33203125,21652.423828125,21645.767578125,21669.095703125,21633.123046875,21639.2421875,21641.65234375,21657.154296875,21651.166015625
72,21618.880859375,21649.736328125,21642.099609375,21633.666015625,21626.9375,21618.1015625,21636.173828125,21628.451171875,21653.130859375,21617.08203125,21623.138671875,21626.171875,21639.111328125,21635.158203125
73,21605.70703125,21635.111328125,21625.314453125,21620.67578125,21611.8671875,21602.59375,21619.681640625,21613.33984375,21637.400390625,21603.560546875,21608.6796875,21611.990234375,21622.123046875,21617.845703125
74,21582.826171875,21613.125,21598.380859375,21598.4453125,21588.94921875,21578.48828125,21592.884765625,21589.8515625,21614.201171875,21581.595703125,21587.09375,21590.453125,21598.935546875,21593.00390625
75,21512.046875,21548.203125,21521.109375,21529.87890625,21528.3984375,21510.716796875,21516.68359375,21520.693359375,21549.14453125,21510.759765625,21524.123046875,21529.30078125,21538.8046875,21529.783203125
76,21455.896484375,21485.466796875,21459.314453125,21473.576171875,21471.08203125,21456.8125,21455.521484375,21459.685546875,21490.990234375,21449.306640625,21465.1640625,21466.39453125,21476.51171875,21471.390625
77,21414.41015625,21436.140625,21412.955078125,21429.763671875,21424.41796875,21415.025390625,21409.0859375,21413.22265625,21444.748046875,21404.89453125,21418.626953125,21417.9375,21423.873046875,21422.126953125
78,21372.4375,21390.02734375,21367.474609375,21384.861328125,21379.84765625,21374.69921875,21363.49609375,21369.16015625,21399.8671875,21363.02734375,21375.640625,21374.39453125,21375.486328125,21374.908203125
79,21327.642578125,21342.619140625,21321.59765625,21337.359375,21335.791015625,21334.4140625,21317.3984375,21323.28515625,21353.80859375,21318.779296875,21332.037109375,21330.642578125,21328.310546875,21329.1875
80,21299.580078125,21309.34765625,21294.43359375,21306.421875,21305.318359375,21309.380859375,21289.541015625,21293.16796875,21321.798828125,21290.37890625,21302.123046875,21299.4453125,21294.49609375,21298.1796875
81,21291.455078125,21296.333984375,21287.845703125,21295.974609375,21291.7578125,21301.087890625,21281.361328125,21282.939453125,21308.42578125,21283.26171875,21290.326171875,21287.12109375,21279.158203125,21284.79296875
82,21301.349609375,21302.79296875,21299.685546875,21303.001953125,21294.5390625,21309.919921875,21292.10546875,21292.220703125,21313.46484375,21295.517578125,21296.927734375,21292.66796875,21282.791015625,21289.205078125
83,21310.64453125,21312.76953125,21309.837890625,21309.54296875,21300.400390625,21318.44921875,21302.376953125,21303.75,21320.4453125,21309.08984375,21307.01171875,21302.865234375,21292.6484375,21296.587890625
84,21310.408203125,21315.857421875,21309.85546875,21308.03125,21301.080078125,21319.142578125,21303.509765625,21307.625,21320.990234375,21313.1328125,21310.544921875,21306.5703125,21298.998046875,21299.134765625
85,21300.9765625,21309.810546875,21300.197265625,21298.9375,21294.69921875,21310.798828125,21295.234375,21302.205078125,21313.623046875,21306.8203125,21304.943359375,21301.05078125,21297.83984375,21294.443359375
86,21286.630859375,21297.501953125,21285.83984375,21286.02734375,21283.640625,21297.42578125,21281.966796875,21290.546875,21301.671875,21294.017578125,21292.705078125,21288.6640625,21290.11328125,21285.005859375
87,21268.279296875,21280.1171875,21267.60546875,21269.4765625,21268.59765625,21279.697265625,21264.62109375,21273.826171875,21285.421875,21276.259765625,21275.361328125,21271.375,21276.380859375,21270.8671875
88,21257.68359375,21267.791015625,21257.958984375,21260.203125,21258.419921875,21268.953125,21255.203125,21262.734375,21275.15234375,21264.646484375,21262.61328125,21257.888671875,21265.142578125,21261.814453125
89,21255.744140625,21263.41796875,21257.12109375,21258.650390625,21255.001953125,21265.83984375,21254.197265625,21259.45703125,21272.271484375,21261.625,21257.166015625,21252.208984375,21259.71484375,21259.248046875
90,21262.48828125,21267.708984375,21264.7890625,21264.546875,21258.927734375,21271.033203125,21261.99609375,21265.05078125,21277.130859375,21267.51171875,21260.376953125,21255.00390625,21261.900390625,21264.0234375
91,21260.51171875,21267.2890625,21263.30859375,21262.837890625,21258.443359375,21268.8359375,21260.69921875,21263.7265625,21276.0078125,21266.8671875,21258.859375,21255.572265625,21261.2265625,21263.5234375
92,21243.376953125,21254.173828125,21246.736328125,21248.275390625,21247.134765625,21252.783203125,21244.099609375,21247.96484375,21262.091796875,21252.111328125,21245.21875,21245.40234375,21250.0703125,21251.021484375
93,21220.857421875,21233.69140625,21224.72265625,21228.529296875,21229.87890625,21231.369140625,21222.28125,21226.28515625,21241.71875,21230.642578125,21225.87109375,21227.556640625,21231.80078125,21231.955078125
94,21199.228515625,21211.818359375,21203.515625,21209.01171875,21211.41015625,21210.099609375,21201.0234375,21204.640625,21220.48046875,21208.912109375,21206.09765625,21207.775390625,21211.197265625,21211.482421875
95,21171.34765625,21183.955078125,21177.09375,21182.54296875,21188.771484375,21184.236328125,21174.21875,21176.73828125,21193.658203125,21180.517578125,21181.263671875,21183.08984375,21185.611328125,21186.42578125
96,21160.150390625,21168.57421875,21167.556640625,21171.923828125,21176.74609375,21171.923828125,21163.099609375,21162.677734375,21179.39453125,21166.5234375,21167.826171875,21168.294921875,21169.318359375,21172.78125
97,21160.61328125,21165.16015625,21168.869140625,21171.947265625,21173.365234375,21169.734375,21162.783203125,21160.552734375,21175.72265625,21165.15234375,21165.24609375,21164.720703125,21163.0859375,21168.333984375
98,21163.642578125,21166.583984375,21171.978515625,21174.25390625,21172.9453125,21170.578125,21165.052734375,21162.71875,21175.671875,21168.134765625,21167.15234375,21166.2421875,21162.220703125,21167.232421875
99,21175.15625,21176.068359375,21183.24609375,21184.130859375,21179.474609375,21180.443359375,21176.4375,21174.076171875,21183.91796875,21179.185546875,21177.11328125,21174.240234375,21169.5859375,21174.53515625
