,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,21508.0,21508.0,21495.0,21511.0,21509.0,21493.0,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0
1,21508.0,21495.0,21511.0,21509.0,21493.0,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0
2,21495.0,21511.0,21509.0,21493.0,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0
3,21511.0,21509.0,21493.0,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0
4,21509.0,21493.0,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0
5,21493.0,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0
6,21443.0,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0
7,21400.0,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0
8,21377.0,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0
9,21343.0,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0
10,21297.0,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0
11,21281.0,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0
12,21272.0,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0
13,21266.0,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0
14,21265.0,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0
15,21274.0,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0
16,21288.0,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0
17,21295.0,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0
18,21298.0,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0
19,21307.0,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0
20,21325.0,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0
21,21357.0,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0
22,21403.0,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0
23,21442.0,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0
24,21465.0,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0
25,21482.0,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0
26,21492.0,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0
27,21516.0,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0
28,21527.0,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0
29,21537.0,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0
30,21545.0,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0
31,21574.0,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0
32,21582.0,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0
33,21588.0,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0
34,21587.0,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0
35,21609.0,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0
36,21615.0,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0
37,21615.0,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0
38,21611.0,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0
39,21640.0,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0
40,21654.0,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0
41,21666.0,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0
42,21671.0,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0
43,21700.0,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0
44,21713.0,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0
45,21723.0,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0
46,21719.0,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0
47,21740.0,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0
48,21749.0,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0
49,21756.0,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0
50,21749.0,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0
51,21762.0,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0
52,21759.0,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0
53,21735.0,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0
54,21694.0,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0
55,21743.0,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0
56,21754.0,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0
57,21736.0,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0
58,21725.0,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0
59,21718.0,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0
60,21713.0,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0
61,21704.0,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0
62,21698.0,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0
63,21715.0,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0
64,21719.0,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0
65,21721.0,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0
66,21711.0,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0
67,21726.0,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0
68,21733.0,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0
69,21730.0,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0
70,21708.0,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0
71,21700.0,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0
72,21697.0,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0
73,21685.0,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0
74,21626.0,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0
75,21566.0,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0
76,21519.0,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0
77,21461.0,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0
78,21391.0,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0
79,21338.0,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0
80,21320.0,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0
81,21313.0,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0
82,21307.0,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0,21176.0
83,21295.0,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0,21176.0,21176.0
84,21285.0,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0,21176.0,21176.0,21176.0
85,21276.0,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0,21176.0,21176.0,21176.0,21176.0
86,21264.0,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0,21176.0,21176.0,21176.0,21176.0,21188.0
87,21257.0,21257.0,21259.0,21260.0,21256.0,21241.0,21224.0,21187.0,21176.0,21176.0,21176.0,21176.0,21188.0,21191.0
